Fri Jul 10 21:47:36 UTC 2009,"AAPL,GOOG",<very positive>@dustin I&amp;#39;m long $aapl or at least until $goog OS is out next year.</very positive>,4
Sat Jul 11 05:36:05 UTC 2009,AAPL,<neutral>$AAPL liver</neutral>,0
Sat Jul 11 05:38:01 UTC 2009,AAPL,<neutral>RT @howardlindzon $AAPL liver</neutral>,0
Sat Jul 11 05:38:16 UTC 2009,AAPL,<neutral>RT @howardlindzon RT @howardlindzon $AAPL liver</neutral>,0
Mon Jul 13 17:44:22 UTC 2009,AAPL,<neutral>Apple Touchscreen Netbook to Launch in October at $800? (Eric Slivka/MacRumors) http://bit.ly/Tq2In $AAPL</neutral>,0
Mon Jul 13 22:22:50 UTC 2009,AAPL,"<neutral>@rosswhiting that&#39;s because Apple&#39;s ticker is $AAPL, not $APPL</neutral>",0
Mon Jul 13 22:24:20 UTC 2009,AAPL,<neutral>@howardlindzon that&#39;s iLiver $AAPL</neutral>,0
Mon Jul 13 22:43:54 UTC 2009,AAPL,<negative>$AAPL non-removable battery thing is bad news.</negative>,-2
Wed Jul 29 03:09:56 UTC 2009,AAPL,<positive>I love to eat $AAPL </positive>,3
Thu Jul 30 23:59:41 UTC 2009,AAPL,<neutral>Wondering when to sell my $AAPL</neutral>,0
Fri Jul 31 00:01:34 UTC 2009,AAPL,<neutral>Checking out the $AAPL news today  http://bit.ly/2gUzQ6</neutral>,0
Fri Jul 31 06:06:31 UTC 2009,AAPL,<very negative>$AAPL almost choked on one</very negative>,-4
Wed Aug 05 00:38:51 UTC 2009,AAPL,<neutral>The Steve Jobs Method:  http://bit.ly/XBkut $AAPL</neutral>,0
Wed Aug 05 02:45:12 UTC 2009,AAPL,<neutral>RT @sorenmacbeth The Steve Jobs Method:  http://bit.ly/XBkut $AAPL</neutral>,0
Fri Aug 14 23:57:00 UTC 2009,AAPL,<neutral>http://chart.ly/5apz64 $AAPL -daily-trying to hold break above broadening triangle- tagged 10daySMA- RSI neg divergence</neutral>,0
Tue Aug 18 15:08:40 UTC 2009,AAPL,<negative>I just short $AAPL at 162.63 stop at no robot just manual trade 162.89</negative>,-3
Tue Aug 18 15:12:24 UTC 2009,AAPL,<negative>Got stopped out of $AAPL short fast :-)</negative>,-3
Fri Aug 21 22:39:58 UTC 2009,AAPL,<neutral>Nice climb today by $AAPL can&#39;t wait to go voer 170 next week http://chart.ly/kedm3t</neutral>,0
Mon Aug 24 14:26:21 UTC 2009,AAPL,<positive>Just read that $AAPL has a patent on the staircase at their 5th Ave Retail location.  I love it!</positive>,3
Mon Aug 24 17:36:15 UTC 2009,AAPL,"<very positive>After seeing ATT&#39;s miserable job at service w/iPhone, I&#39;m long $AAPL b/c I &amp; 000s+ wait for partnership to expire. Long unlocked iPhone too</very positive>",5
Mon Aug 24 20:05:42 UTC 2009,AAPL,<positive>$AAPL is hooking us loyal customers up! Only $29 for a Snow Leopard upgrade. http://www.apple.com/macosx/</positive>,1
Fri Aug 28 01:26:27 UTC 2009,AAPL,<positive>Detailed review of $AAPL&#39;s Snow Leopard.  Good stuff!  --&gt; http://bit.ly/1lG7UN</positive>,1
Fri Aug 28 04:11:04 UTC 2009,AAPL,<neutral>Can&#39;t wait to get my $aapl snow leopard today! </neutral>,0
Fri Aug 28 09:45:22 UTC 2009,AAPL,"<neutral>Looks like the $AAPL iPhone China deal are going to be hyped for all it&#39;s worth. It&#39;s the overwhelming theme in my twitter stream, so far</neutral>",0
Fri Aug 28 20:25:02 UTC 2009,AAPL,<positive>My very first Wallstrip show...$aapl   http://bit.ly/1a0za5 have a great weekend.  BIG NEWS TUESDAY for us stocktwiterers</positive>,2
Sun Aug 30 20:51:40 UTC 2009,"AAPL,AMZN",<neutral>Waiting to get my $aapl Snow Leopard from $amzn</neutral>,0
Sun Aug 30 22:39:19 UTC 2009,AAPL,<neutral>so whats the verdict on snow leopard $aapl?</neutral>,0
Sun Aug 30 23:51:52 UTC 2009,"AAPL,MSFT",<negative>Could $AAPL crush TV?   $MSFT thinks so. --&gt; http://bit.ly/NNbQ3</negative>,-3
Sun Aug 30 23:54:44 UTC 2009,AAPL,"<positive>I&#39;m a Mac man myself ($AAPL), but used to love Defraggler.  Check out the top 5 disk defragmenter programs here --&gt;  http://bit.ly/TXI2t</positive>",2
Tue Sep 01 01:14:41 UTC 2009,AAPL,<neutral>@dustin I see your tweet abotu $aapl</neutral>,0
Tue Sep 01 13:56:43 UTC 2009,"AAPL,BCRX,C,CFSG,INCY,PHO,SH,SIRI","<very positive>trade ideas: $bcrx $incy $c $sh ... investment ideas: $CFSG $SIRI $AAPL $PHO ($CFSG long in the tooth tho, i&#39;ve owned since $8)</very positive>",5
Tue Sep 01 15:40:44 UTC 2009,AAPL,<positive>This has been a support area 165.70-166.30 for $AAPL for quite some time</positive>,2
Tue Sep 01 15:46:37 UTC 2009,AAPL,<very positive>Very nice recovery from $AAPL at this support area</very positive>,4
Tue Sep 01 18:06:24 UTC 2009,AAPL,<very negative>thinking of an $aapl short if we roll over again</very negative>,-4
Tue Sep 01 18:25:45 UTC 2009,AAPL,<neutral>@voltron23 you need to use the $ sign.  Test $AAPL</neutral>,0
Tue Sep 01 19:11:42 UTC 2009,AAPL,<neutral>Shorted 1000 $aapl at 166.44 maybe a day trade.  stop $170 ish</neutral>,0
Tue Sep 01 19:37:18 UTC 2009,"AAPL,PWRD,STEC",<positive>some major rollovers in leaders like $stec and $pwrd tpo watch.  $aapl too.  bulls will not die easy </positive>,1
Wed Sep 02 16:31:15 UTC 2009,AAPL,"<positive>portfolio update on John Griffin&#39;s Blue Ridge Capital. Simply put, this hedge fund loves $AAPL http://bit.ly/XEw0R</positive>",2
Thu Sep 03 03:32:34 UTC 2009,AAPL,<neutral>A glimpse inside Mac OS X Snow Leopard 64-bit  --&gt;  http://bit.ly/8NSxU $$ ($aapl)</neutral>,0
Thu Sep 03 15:16:15 UTC 2009,AAPL,"<very negative>@dogwood agreed, but the $AAPL tv is just not a great product... poor video quality... too, $AAPL didn&#39;t have $$ to buy at the time</very negative>",-5
Thu Sep 03 19:00:05 UTC 2009,"AAPL,AIG,C,GLD,SPY,SVA,UNG","<neutral>$UNG 9.09, $AIG 40.31, $GLD 97.37, $SPY 100.08, $C 4.73, $AAPL 166.24, $SVA 9.13 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Thu Sep 03 20:21:55 UTC 2009,"AAPL,CSCO,T","<neutral>$$ Globally mobile data traffic is expected to double every year thru &#39;13 according to $CSCO   http://bit.ly/2i21Q  $AAPL, $T</neutral>",0
Thu Sep 03 23:00:06 UTC 2009,"AAPL,AIG,C,GLD,SPY,SVA,UNG","<neutral>$GLD 97.41, $AIG 41.77, $UNG 9.03, $SPY 100.69, $C 4.75, $AAPL 166.53, $SVA 9.08 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Fri Sep 04 05:00:04 UTC 2009,"AAPL,AIG,C,GLD,SPY,SVA,UNG","<neutral>$GLD 97.41, $UNG 9.03, $AIG 41.77, $SPY 100.69, $C 4.75, $AAPL 166.53, $SVA 9.08 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Fri Sep 04 09:00:04 UTC 2009,"AAPL,AIG,C,GLD,SPY,SVA,UNG","<neutral>$UNG 9.03, $GLD 97.41, $AIG 41.77, $SPY 100.69, $C 4.75, $AAPL 166.53, $SVA 9.08 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Fri Sep 04 14:36:57 UTC 2009,AAPL,"<very positive>Also, I am long $AAPL at 168.63</very positive>",4
Fri Sep 04 15:00:06 UTC 2009,"AAPL,AIG,C,GLD,SPPI,SPY,UNG","<neutral>$UNG 9.18, $GLD 96.91, $AIG 41.19, $SPY 101.22, $AAPL 169.14, $SPPI 8.82, $C 4.84 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Fri Sep 04 15:58:13 UTC 2009,AAPL,"<positive>Very nice $AAPL movement, still holding due to the burst of buying strength $$</positive>",3
Fri Sep 04 16:07:45 UTC 2009,AAPL,<very negative>Short $AAPL Sept 165 puts at 2.01</very negative>,-4
Fri Sep 04 16:15:52 UTC 2009,AAPL,<very positive>another nice trade in now $aapl long from @annemarie2006 </very positive>,6
Fri Sep 04 18:08:40 UTC 2009,"AAPL,VZ",<neutral>@paulrtaylor $AAPL will likely hold off and make a $VZ 4g iphone when it can use the same chipset</neutral>,0
Mon Sep 07 01:59:48 UTC 2009,AAPL,<negative>Mike Arrington licking his chops over the David Pogue $aapl  conflicts...http://bit.ly/iuEYp </negative>,-3
Mon Sep 07 07:00:03 UTC 2009,"AAPL,AIG,GLD,SLV,SPY,UNG","<neutral>$GLD 97.53, $UNG 9.54, $AIG 40.02, $SPY 102.06, $AAPL 170.31, $SLV 15.98 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Mon Sep 07 12:00:03 UTC 2009,"AAPL,AIG,GLD,SLV,SPY,UNG","<neutral>$GLD 97.53, $UNG 9.54, $AIG 40.02, $SLV 15.98, $AAPL 170.31, $SPY 102.06 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Mon Sep 07 14:21:07 UTC 2009,"AAPL,ARST,QCOM,RIMM,STAR","<neutral>http://bit.ly/SzHlW  a bunch of mobile stcks still strong including $rimm, $star, $arst, $aapl even $qcom ht @downtowntrader</neutral>",0
Mon Sep 07 15:00:04 UTC 2009,"AAPL,AIG,GLD,SLV,SPY,UNG","<neutral>$GLD 97.53, $UNG 9.54, $AIG 40.02, $AAPL 170.31, $SLV 15.98, $SPY 102.06 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Mon Sep 07 19:00:06 UTC 2009,"AAPL,AIG,GLD,QQQQ,SLV,UNG","<neutral>$GLD 97.53, $UNG 9.54, $SLV 15.98, $AAPL 170.31, $AIG 40.02, $QQQQ 40.36 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Mon Sep 07 23:00:05 UTC 2009,"AAPL,GLD,SLV,SPY,UNG","<neutral>$GLD 97.53, $UNG 9.54, $AAPL 170.31, $SLV 15.98, $SPY 102.06 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Tue Sep 08 06:00:03 UTC 2009,"AAPL,GLD,QQQQ,SPY,UNG","<neutral>$GLD 97.53, $AAPL 170.31, $UNG 9.54, $SPY 102.06, $QQQQ 40.36 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
